Company,MSE,MAE,R2,MAPE
EMDV.TA,396.2255489,16.2543073,0.996353815,0.006297416
ENDY.TA,377.6242251,5.353916931,0.886501181,0.915077761
ENOG.TA,852.1471143,21.13491509,0.977308451,0.00454433
ENRG.TA,5.217659925,1.667034795,0.999014121,0.001387952
ENLT.TA,588.4118594,19.39661558,0.982037215,0.0031949
ENLV.TA,633.4602189,15.85234114,0.874839836,0.035507937
EPIT.TA,1017.97131,15.3677671,0.711445297,0.015301134
EQTL.TA,25951.14595,111.2203774,0.982901261,0.007694416
EFNC-M.TA,2379.951451,27.40703507,0.287094625,0.126924516
BCUR.TA,4.811291237,1.766016825,-0.007448859,0.07981496
ETGA.TA,713.3180863,22.97521418,0.983152356,0.012241653
EVGN.TA,118047.5936,79.07732708,-1.927631463,0.109946458
EXPO.TA,293211.9083,417.2250411,0.646896657,0.061617486
FTAL.TA,66363.81509,202.8125837,0.996844786,0.004134306
FEAT.TA,481.1473331,17.85145274,0.831220011,2.905937423
FIBI.TA,144084.1264,309.0103588,0.938815612,0.016732727
FIBIH.TA,173191.7417,316.9475182,0.93818933,0.016020575
FGAS.TA,2341.395509,47.20476635,0.041364857,0.041483533
FLYS.TA,147.0897573,4.672808332,0.093863881,1.35894864
FBRT.TA,47938.63247,190.0980222,0.978366589,0.012831643
FRSX.TA,9.109458759,1.660147873,0.493484911,0.127384664
FORTY.TA,18666.85518,113.2323908,0.995430562,0.003487624
FOX.TA,41100.05479,150.9058626,0.985166266,0.005195412
FRDN.TA,9721.094722,86.25914423,0.971501656,0.016778363
GOSS.TA,4.069831807,1.548555394,0.996952741,0.003195458
GCT.TA,408.5163144,10.66845377,0.950307557,0.007777952
GPGB-M.TA,159038.4407,337.8643127,0.729475251,10.96884693
GLTC.TA,1644.078401,19.81923057,0.34526612,5.150069687
GMLA.TA,15148.34838,86.91468412,0.719497942,6.557840356
GSFI.TA,6938.484854,71.49623207,0.909610116,0.019484775
GAGR.TA,53.55269032,5.31104079,0.988989537,0.01462018
GAON-M.TA,85272.27687,133.3993386,0.519632417,0.061910358
GVYM.TA,94.10504828,7.807041813,0.989428722,0.002599815
GEFR.TA,0.29545245,0.407083305,0.973318812,0.006090602
GNCL.TA,113.5278293,6.898151198,-1.423173771,0.127433656
GNRS.TA,0.788087652,0.776461887,0.985190419,0.010147736
GFC-M.TA,2410.052605,41.21480642,0.992024868,0.652213882
GIBUI.TA,1.265309915,0.996212325,-0.65070106,0.58312259
GILT.TA,195.8328003,9.420075616,0.99781255,0.004268175
GLTL.TA,2.246934813,1.307101316,0.965155729,0.01810859
GNGR.TA,617.540787,21.15844863,0.332784493,0.022423494
GIVO.TA,2.495234468,1.312824367,0.176935132,0.059899098
GIX.TA,12.41914252,3.066212002,0.064435261,0.187435884
GKL.TA,2.45441374,1.054308739,0.963272255,0.014166236
GLEN-M.TA,6.26E-05,0.005661497,-0.227985596,0.184366639
GLRS.TA,1987829.79,916.5022001,0.809858739,0.017341085
GOTO.TA,1156.186947,18.63599733,-2.369470784,0.04490134
GRIN.TA,582.1463422,19.68960183,0.984442687,0.014980182
GOLD.TA,85619.83464,191.6003002,0.983957947,0.010780223
GOHO.TA,11869.05102,96.06621259,0.671656793,0.042179873
GOLF.TA,107.0599547,9.132064992,0.978341911,0.014038619
GRAC.TA,1977.080055,36.95151213,0.507372146,0.022799851
G107.TA,140.705283,9.153049878,-3.871296484,0.17433633
GUID.TA,2921.70866,27.44360682,0.9488457,1.913439017
