Company,Model,MSE,MAE,R2,MAPE,Final_Score,,,,
ILDR.TA,LSTM,65.55699668,5.071605526,0.971053213,0.00646183,-0.8997563161,,,,
ILX.TA,LSTM,2128.392892,31.77063086,0.99421276,0.004440878,-1.102547772,,,,
IMCO.TA,GRU,11019.29011,74.27704312,0.950039271,0.01948147,-0.7264514822,,,,
IMED.TA,XGBoost,1505.513158,25.28588229,-0.424638105,9.283866857,-1,,,,
INCR.TA,LSTM,53.02820711,4.358860424,0.988746759,0.007427163,-0.9287700555,,,,
INFR-M.TA,XGBoost,223356.5247,411.8709348,-8.133647332,5414.356764,-0.2,,,,
ININ.TA,GRU,57.73777193,3.931608917,0.710652155,0.015562568,-1,,,,
INRM.TA,LSTM,57.18363294,5.729974345,0.998790285,0.003526822,-1.416977793,,,,
INTO.TA,LSTM,5915.901414,58.68705706,0.909309647,0.125408498,-0.2,,,,
INTR.TA,GRU,56742.76089,170.9700638,0.341645246,0.026071699,-1,,,,
ISCN.TA,GRU,80.77483736,7.358552509,0.99289049,0.005119667,-0.9238413066,,,,
ISHI.TA,LSTM,7380.939943,57.19870707,0.998275978,0.005536135,-0.9412767729,,,,
ISI.TA,GRU,92.81006818,7.777430945,0.985081047,0.005648299,-1.120549961,,,,
ISOP.TA,LightGBM,0.000234673,0.011263538,0.931904191,0.01540321825,-1,,,,
ISRA.TA,LightGBM,0.047675543,0.172242335,-1.523553849,0.1033344073,-1,,,,
ISRG.TA,XGBoost,35.34025733,3.918904487,0.890151866,0.02442115545,-1,,,,
ISRO.TA,GRU,6628.597521,61.86004656,0.979115269,0.007496885,-1.01786762,,,,
ISRS.TA,LSTM,145062.8212,310.9470223,0.996497281,0.003727842,-1.160029191,,,,
ISTA.TA,LSTM,8238.52059,72.71667256,0.988433422,0.007986278,-1.468844422,,,,
JBNK.TA,LSTM,884.3843421,22.26473293,0.985145608,0.012909015,-1.044355324,,,,
JCFN.TA,GRU,776.4232696,17.97180478,0.96250875,0.007812447,-0.7455147411,,,,
JNGO.TA,LSTM,1369.246342,32.90342759,-3.644665946,0.091772043,-0.9032815757,,,,
KAFR.TA,LSTM,489.7358518,16.3891094,0.995396537,0.005727288,-1.617002504,,,,
KARE.TA,LSTM,75.35251308,3.219276814,0.98191563,0.005733006,-1.552767199,,,,
KDST.TA,LSTM,2701.937351,30.0495827,0.984353137,0.024798543,-1.150123534,,,,
KEN.TA,LSTM,3754.611231,46.86103451,0.99243154,0.004224629,-1.408870259,,,,
KLIL.TA,LSTM,10528.49875,78.01577681,0.998814617,0.003309591,-1,,,,
