,Earnings Per Share (EPS),Number of Outstanding Shares,Revenue,Net Income,Gross Profit,Operating Income (EBIT),Total Assets,Long-Term Debt
CRSM.TA,"[-0.62, 6.1, 20.55]","[-0.62, 6.1, 20.55]","[-0.62, 6.1, 20.55]","[-0.62, 6.1, 20.55]","[-0.62, 6.1, 20.55]","[-0.62, 6.1, 20.55]","[-0.62, 6.1, 20.55]","[-0.62, 6.1, 20.55]"
CRSR.TA,"[-0.48, 11.59, 33.11]","[-0.48, 11.59, 33.11]","[-0.48, 11.59, 33.11]","[-0.48, 11.59, 33.11]","[-0.48, 11.59, 33.11]","[-0.48, 11.59, 33.11]","[-0.48, 11.59, 33.11]","[-0.48, 11.59, 33.11]"
CRML.TA,"[0.05, 1.91, 8.7]","[0.05, 1.91, 8.7]","[0.05, 1.91, 8.7]","[0.05, 1.91, 8.7]","[0.05, 1.91, 8.7]","[0.05, 1.91, 8.7]","[0.05, 1.91, 8.7]","[None, None, None]"
CRMT.TA,"[0.0, 1.71, -51.33]","[0.0, 1.71, -51.33]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]"
CAST.TA,"[-0.21, 6.64, 24.11]","[-0.21, 6.64, 24.11]","[-0.21, 6.64, 24.11]","[-0.21, 6.64, 24.11]","[-0.21, 6.64, 24.11]","[-0.21, 6.64, 24.11]","[-0.21, 6.64, 24.11]","[-0.21, 6.64, 24.11]"
CEL.TA,"[-0.35, 7.46, 24.27]","[-0.35, 7.46, 24.27]","[-0.35, 7.46, 24.27]","[-0.35, 7.46, 24.27]","[-0.35, 7.46, 24.27]","[-0.35, 7.46, 24.27]","[-0.35, 7.46, 24.27]","[-0.35, 7.46, 24.27]"
CPIA.TA,"[None, None, None]","[-0.37, 11.46, 2.34]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]"
CBI.TA,"[2.66, 13.52, 2.9]","[2.66, 13.52, 2.9]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]"
CLIS.TA,"[-1.46, 11.47, 20.87]","[-1.46, 11.47, 20.87]","[-1.46, 11.47, 20.87]","[-1.46, 11.47, 20.87]","[None, None, None]","[None, None, None]","[-1.46, 11.47, 20.87]","[None, None, None]"
CFX.TA,"[0.02, -2.5, 6.63]","[0.02, -2.5, 6.63]","[0.02, -2.5, 6.63]","[0.02, -2.5, 6.63]","[0.02, -2.5, 6.63]","[0.02, -2.5, 6.63]","[0.02, -2.5, 6.63]","[0.02, -2.5, 6.63]"
CGEN.TA,"[0.07, -6.89, -6.46]","[0.07, -6.89, -6.46]","[0.07, -6.89, -6.46]","[0.07, -6.89, -6.46]","[0.07, -6.89, -6.46]","[0.07, -6.89, -6.46]","[0.07, -6.89, -6.46]","[None, None, None]"
DANH.TA,"[0.0, 0.38, 0.02]","[0.0, 0.38, 0.02]","[0.0, 0.38, 0.02]","[0.0, 0.38, 0.02]","[0.0, 0.38, 0.02]","[0.0, 0.38, 0.02]","[0.0, 0.38, 0.02]","[0.0, 0.38, 0.02]"
DNYA.TA,"[-1.75, 7.9, 21.91]","[-1.75, 7.9, 21.91]","[-1.75, 7.9, 21.91]","[-1.75, 7.9, 21.91]","[-1.75, 7.9, 21.91]","[-1.75, 7.9, 21.91]","[-1.75, 7.9, 21.91]","[None, None, None]"
DLEKG.TA,"[-1.45, 1.01, 4.74]","[-1.45, 1.01, 4.74]","[-1.45, 1.01, 4.74]","[-1.45, 1.01, 4.74]","[-1.45, 1.01, 4.74]","[-1.45, 1.01, 4.74]","[-1.45, 1.01, 4.74]","[-1.45, 1.01, 4.74]"
